ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
23,Afghanistan,AFG,,,Asia,Movement restrictions,Border checks ,Yes,All China and Iran nationals,,01/02/2020,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,14/03/2020,
27,Albania,ALB,,,Europe,Movement restrictions,International flights suspension,Yes,Italy until 3rd April,Not applicable,09/03/2020,Tirana Times 09/03/3030,Media,https://www.tiranatimes.com/?p=144490,14/03/2020,
28,Albania,ALB,Tirana and Durres,,Europe,Movement restrictions,Domestic travel restrictions,No,vehicle movement restrictions,Not applicable,16/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
29,Albania,ALB,,,Europe,Social distancing,Schools closure ,No,"All schools are closed from March 10, 2020 until March 23, 2020",Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
30,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,No,Until 3rd April,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
31,Albania,ALB,,,Europe,Movement restrictions,Checkpoints within the country,Yes,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
32,Albania,ALB,,,Europe,Public health measures,Introduction of quarantine policies,Yes,All people entering the country for 15 days,Not applicable,10/03/2020,US Embassy ,Government,https://al.usembassy.gov/updates_covid19/,14/03/2020,
34,Albania,ALB,,,Europe,Social and economic measures,Economic measures,No,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,Not applicable,12/03/2020,BalkanInSight,Media,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,14/03/2020,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html
35,Albania,ALB,,,Europe,Public health measures,Awareness campaigns,No,,Not applicable,11/03/2020,US Embassy ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,14/03/2020,
925,Albania,ALB,,,Europe,Public health measures,Health screenings in airports and border crossings,No,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,,19/03/2020,US embassy of Albania ,Government,https://al.usembassy.gov/updates_covid19/,20/03/2020,
926,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,,19/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,https://al.usembassy.gov/updates_covid19/
931,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,No,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,,20/03/2020,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,20/03/2020,
932,Albania,ALB,,,Europe,Movement restrictions,Border closure ,Yes,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",,14/03/2020,US Embassy of Albania ,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,20/03/2020,
1938,Albania,ALB,,,Europe,Social and economic measures,Emergency administrative structures activated or established,Yes,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience ",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
1939,Albania,ALB,,,Europe,Movement restrictions,International flights suspension,Yes,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
1940,Albania,ALB,,,Europe,Movement restrictions,Border closure ,Yes,No ferries to and from Italy until april 3,,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
2001,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,Yes,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2002,Albania,ALB,,,Europe,Social and economic measures,Economic measures,Yes,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2003,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,Yes,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
2004,Albania,ALB,,,Europe,Public health measures,General recommendations,Yes,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",Fines,22/03/2020,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,24/03/2020,
36,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,,Not applicable,05/03/2020,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,14/03/2020,
37,Algeria,DZA,,,Africa,Social distancing,Schools closure ,No,until 5th April,Not applicable,12/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
39,Algeria,DZA,,,Africa,Movement restrictions,Border checks ,Yes,Entry denied to people with symptoms,Not applicable,12/03/2020,US Embassy ,Government,https://dz.usembassy.gov/covid-19-information/,14/03/2020,
40,Algeria,DZA,,,Africa,Social distancing,Limit public gatherings,No,,Not applicable,12/03/2020,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,14/03/2020,
961,Algeria,DZA,,,Africa,Social distancing,Public services closure ,No,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
962,Algeria,DZA,,,Africa,Movement restrictions,Border closure ,No,All land borders.,,17/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
963,Algeria,DZA,,,Africa,Movement restrictions,International flights suspension,No,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
964,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,No,Programs to disinfect mass transit and public areas,,20/03/2020,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
978,Algeria,DZA,,,Africa,Public health measures,Introduction of quarantine policies,Yes,Quarantining known confirmed COVID-19 cases within its borders,,18/03/2020,US Embassy of Algeria ,Government,https://dz.usembassy.gov/covid-19-information/,20/03/2020,
1980,Algeria,DZA,,,Africa,Movement restrictions,Border closure ,Yes,All neighboring land countries ,,17/03/2020,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,24/03/2020,
1981,Algeria,DZA,,,Africa,Movement restrictions,Domestic travel restrictions,Yes,all domestic flights ,,22/03/2020,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,24/03/2020,
1982,Algeria,DZA,,,Africa,Lockdown ,Partial lockdown,Yes,Bilda (complete confinement - all movement in and out is prohibited) and Algiers ,,23/03/2020,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,24/03/2020,
1983,Algeria,DZA,,,Africa,Movement restrictions,Curfews,Yes,Bilda and Algiers from 7 pm to 7 am.,,23/03/2020,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,24/03/2020,
41,Angola,AGO,,,Africa,Public health measures,Health screenings in airports and border crossings,Yes,"China, South Korea, Iran, and Italy",Not applicable,03/03/2020,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,14/03/2020,
42,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,Yes,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,Not applicable,03/03/2020,US Embassy ,Government,https://ao.usembassy.gov/covid-19-information/,14/03/2020,
48,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,No,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",Not applicable,11/03/2020,All Africa,Media,https://allafrica.com/stories/202003100459.html,14/03/2020,
1070,Angola,AGO,,,Africa,Movement restrictions,International flights suspension,No,"All international flights to and from Angola will be suspended as of Friday, March 20",,20/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,21/03/2020,
1071,Angola,AGO,,,Africa,Movement restrictions,Visa restrictions,Yes,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",,04/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4,21/03/2020,
1072,Angola,AGO,,,Africa,Movement restrictions,Visa restrictions,Yes,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",,01/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5,21/03/2020,
1073,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,Yes,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,,06/02/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-6,21/03/2020,
1984,Angola,AGO,,,Africa,Movement restrictions,International flights suspension,Yes,"On Tuesday, March 17, government officials announced that all international flights to and from Angola will be suspended as of Friday, March 20",,20/03/2020,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,24/03/2020,
1985,Angola,AGO,,,Africa,Social distancing,Schools closure ,Yes,"Public and private higher and general education institutions in Angola are since March 23 shut for a period of 15 days,which may be extended in view of the pandemic situation in the country.",,23/03/2020,All Africa,Media,https://allafrica.com/stories/202003240713.html,24/03/2020,
1986,Angola,AGO,,,Africa,Public health measures,General recommendations,Yes,"The Minister of Health, Sílvia Lutucuta, advised employers to allow their domestic workers to stay indoors as a way to prevent the spread of Covid-19 among Angolans.",,22/03/2020,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",24/03/2020,
1987,Angola,AGO,Namibe,,Africa,Public health measures,Awareness campaigns,No,"The Provincial Youth Council in Namibe carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.",,22/03/2020,All Africa,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",24/03/2020,
1988,Angola,AGO,Luena City,,Africa,Public health measures,Awareness campaigns,No,"The sale of dried game meat, on the informal market in Luena city, has been banned since Saturday, the 21st, as part of the implementation of measures to prevent infection by the new coronavirus (Covid - 19).",,22/03/2020,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",24/03/2020,
9,Antigua and Barbuda,ATG,,,Americas,Public health measures,Awareness campaigns,No,Sanitation and hygiene recommendations,,13/03/2020,Prime Minister's Statement,Government,https://ab.gov.ag/media_page.php?page=227,14/03/2020,
228,Antigua and Barbuda,ATG,,,Americas,Movement restrictions,Visa restrictions,Yes,"    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. ",Not applicable,,US Embassy,Government,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,15/03/2020,
848,Antigua and Barbuda,ATG,,,Americas,Social Distancing,Limit public gatherings,No,"30 day ban on all fete, parties and similar social events as a pre-emptive measure to prevent the contracting and spread of the coronavirus / covid-19.",,16/03/2020,Tourism Authority,Government,https://visitantiguabarbuda.com/contact-us/,20/03/2020,
981,Antigua and Barbuda,,,,Americas,Social Distancing,Limit public gatherings,Yes,Measures implemented at water payment centers: Senior citizens given priority in customer queues; controlled lines at payment centers enforced; use of sanitation station required on entry to office; designated waiting area to facilitate social distancing ,,16/03/2020,Public Works Authority,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
982,Antigua and Barbuda,ATG,,,Americas,Public health measures,Awareness campaigns,Yes,"Members of the Antigua and Barbuda Hotels and Tourist Association met with officials from the Ministry of Health, the Antigua Workers Unions and the Ministry of Tourism to educate about COVID 19 action plan",,03/03/2020,"Press Release, Antigua & Barbuda Government",Government,https://ab.gov.ag/media_page.php?page=225,20/03/2020,
1000,Antigua and Barbuda,ATG,,,Americas,Social and economic measures,Schools closure ,No,All educational institutions closed until 27 March 2020 with possibility of extension,,15/03/2020,"Ministry of education, Science, and Technology",Government,https://ab.gov.ag/pdf/MoEST_COVID-19_Closures.pdf,20/03/2020,
1013,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Emergency administrative structures activated or established,No,Antigua Public Utilities Authority (APUA) created an internal taskforce  to recommend systematic business continuity plans that can be implemented,,16/03/2020,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
1014,Antigua and Barbuda,ATG,,,Americas,Social and Economic Measures,Economic measures,Yes,"Calls made to COVID Hotline 463-6843 will not incur charges from inet home, mobile and",,16/03/2020,Antigua & Barbuda Government ,Government,https://ab.gov.ag/pdf/APUA_COVID-19.pdf,20/03/2020,
24,Argentina,ARG,,,Americas,Movement restrictions,International flights suspension,No,Flights from countries with COVID transmissions.,,12/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,
25,Argentina,ARG,,,Americas,Movement restrictions,Visa restrictions,No,For long term ,,11/03/2020,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,https://www.boletinoficial.gob.ar/detalleAviso/primera/226653/20200312
26,Argentina,ARG,,,Americas,Public health measures,Introduction of quarantine policies,Yes,"From Europe, UK, USA, South Korea, Japan, China and Iran, for 14 days",,12/03/2020,Ministry of Foreign Affairs - Francce,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/#,14/03/2020,
847,Argentina,ARG,,,Americas,Social distancing,Limit public gatherings,No,Restrict public gathering for sport events and closes cultural spaces,,12/03/2020,Ministry of Health ,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
849,Argentina,ARG,,,Americas,Movement restrictions,Visa restrictions,Yes,"For non-residents and travellers from the Schengen Area, UK, US, Iran, China, Japan and South Corea",,15/03/2020,Ministry of Foreign Affairs - France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/argentine/,20/03/2020,
868,Argentina,ARG,,,Americas,Movement restrictions,Domestic travel restrictions,No,"Restriction on intercity domestic buses, trains, and flights through Wednesday, March 25",,19/03/2020,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,20/03/2020,
869,Argentina,ARG,Buenos Aires,,Americas,Social distancing,Limit public gatherings,No,Forbidding standing room passengers in public transports,,19/03/2020,Ministry of Foreign Affairs - US,Government,https://ar.usembassy.gov/covid-19/,20/03/2020,
873,Argentina,ARG,,,Americas,Social distancing,Public services closure ,No,All relevant public services transfered online.,,16/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
875,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Social protection plan to ensure alimentation and health for all,,16/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
876,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Plan of investment to protect employment and the economy,,17/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
877,Argentina,ARG,,,Americas,Public health measures,Strengthening the public health system,No,Construction of 8 temporary hospitals,,18/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
878,Argentina,ARG,,,Americas,Lockdown,Partial lockdown,No,"Until 31st of March included, travels are restricted excepted for valid reasons and population is forced to quarantine. Limited quarantine exemptions include movement to obtain food and medical care and travel to the international airport for ticketed passengers only. Enforced by the police. ",Legal action,19/03/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
879,Argentina,ARG,,,Americas,Public health measures,Awareness campaigns,No,Campaign for argentinians abroad,,17/02/2020,Ministry of Health — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,20/03/2020,
2093,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,Price control on basic goods and food for 30 days.,Not available,20/03/2020,Government — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,24/03/2020,
2094,Argentina,ARG,,,Americas,Social and economic measures,Economic measures,No,One-time payment of 10.000 AR$ to the unemployed and precarious workers.  ,Not available,23/03/2020,Government — Argentina,Government,https://www.argentina.gob.ar/coronavirus/medidas-gobierno,24/03/2020,
2095,Argentina,ARG,,,Americas,Social and economic measures,State of emergency declared,No,National state of emergency declared.,Not available,19/03/2020,US Embassy,Government,https://ar.usembassy.gov/covid-19/,24/03/2020,
63,Armenia,ARM,,,Asia,Public health measures,Health screenings in airports and border crossings,No,New arrivals also fill out information forms,Not applicable,10/03/2020,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9722/,14/03/2020,https://armenpress.am/eng/news/1002866.html
65,Armenia,ARM,,,Asia,Movement restrictions,Border closure ,Yes,iran for 2 weeks,Not applicable,24/02/2020,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,14/03/2020,https://eurasianet.org/following-coronavirus-outbreak-in-iran-armenia-closes-border-and-azerbaijan-keeps-it-open
66,Armenia,ARM,,,Asia,Movement restrictions,Visa restrictions,Yes,"Iran, China",Not applicable,11/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/
67,Armenia,ARM,,,Asia,Movement restrictions,Border closure ,Yes,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",Not applicable,14/03/2020,US Embassy ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,14/03/2020,
69,Armenia,ARM,,,Asia,Public health measures,Awareness campaigns,No,,Not applicable,31/01/2020,Government of the Republic of Armenia,Government,https://www.gov.am/en/news/item/9668/,14/03/2020,
73,Armenia,ARM,,,Asia,Public health measures,Introduction of quarantine policies,Yes,For those with symptoms,Not applicable,13/03/2020,Ministry of health,Government,http://www.moh.am/#3/2677,14/03/2020,
430,Armenia,ARM,,,Middle East,Social distancing,Schools closure ,No,all schools for 1 week,Not applicable,02/03/2020,Civilnet,Media,https://www.civilnet.am/news/2020/03/02/Coronavirus-Armenian-Government-Introduces-School-Closures-Establishes-Quarantine-Center-in-Tsaghkadzor/377468,16/03/2020,
1003,Armenia,ARM,,,Asia,#REF!,State of emergency declared,No,for 30 days,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1004,Armenia,ARM,,,Asia,#REF!,Schools closure ,No,All schools and Universities ,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1005,Armenia,ARM,,,Asia,#REF!,Limit public gatherings,No,Prohibition of all events over 20 persons ,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1006,Armenia,ARM,,,Asia,Movement restrictions,Visa restrictions,Yes,suspended entry into the country arriving from areas with high risk of COVID-19 infections ,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1007,Armenia,ARM,,,Asia,Public health measures,Health screenings in airports and border crossings,No,symptoms checks and health questionnaires for all travelers permitted to enter the country.,,16/03/2020,US Embassy of Armenia,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
1012,Armenia,ARM,,,Asia,Movement restrictions,Border closure ,Yes,Iran *exceptions: citizens of these respective nations are permitted to return and some cargo deliveries may cross the borders ,,16/03/2020,US Embassy of Armenia ,Government,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,20/03/2020,
2026,Armenia,ARM,,,Asia,Movement restrictions,Visa restrictions,Yes,"citizens of Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, South Korea, Switzerland, Turkey, the UK and the US will not be permitted to enter Armenia. * Except: Armenian nationals and their family members, Permanent residents, Foreign diplomatic staff and assignees of intergovernmental organizations, as well as their family members. Armenian citizens and foreigners are allowed to depart by air only.",Not applicable,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
2027,Armenia,ARM,,,Asia,Movement restrictions,Visa restrictions,Yes,Visa-free entry for Chinese and Iranian nationals has been suspended.,Not applicable,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
2028,Armenia,ARM,,,Asia,Movement restrictions,International flights suspension,Yes,All flights to/from Russia have been suspended until at least 30 March,Not applicable,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
2029,Armenia,ARM,,,Asia,Movement restrictions,Border closure ,Yes,land borders with Iran and Georgia (until 16th of April 2020),Not applicable,23/03/2020,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,24/03/2020,
93,Australia,AUS,,,Pacific,Movement restrictions,Visa restrictions,Yes,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",Not applicable,01/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,
94,Australia,AUS,,,Pacific,Public health measures,Introduction of quarantine policies,Yes,"14 days self-quarantine, for nationals arriving from China, Italy, Iran or South Korea",Not applicable,01/03/2020,IATA,Other organisations,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,14/03/2020,
95,Australia,AUS,,,Pacific,Social distancing,Limit public gatherings,No,Mass gatherings of more than 500 banned,Not applicable,13/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
96,Australia,AUS,,,Pacific,Social and economic measures,Economic measures,No,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,Not applicable,01/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
97,Australia,AUS,,,Pacific,Public health measures,Strengthening the public health system,No,Additional masks and funding,Not applicable,12/03/2020,Department of Health,Government,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert#current-status,14/03/2020,
