record_id,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,intervention_clean,date_of_update,status,subpopulation,required,enforcement,details,status_simp
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Retail store closures (excluding essentials),2020-03-23,closed,entire population,required,NA,"Exceptions include Supermarkets and other food shops Medical services such as dental surgeries, opticians and audiology clinics, physiotherapy clinics, chirpody and podiatry clinics, and other professional vocational medical services Pharmacies and chemists, including nondispensing pharmacies Petrol stations Bicycle shops Hardware shops and equipment, plant and tool hire Veterinary surgeries and pet shops Agricultural supplies shops Corner shops and newsagents Offlicences and licenced shops selling alcohol, including those within breweries Laundrettes and dry cleaners Post offices Vehicle rental services Car garages and MOT services Car parks High street banks, building societies, shortterm loan providers, credit unions and cash points Storage and distribution facilities, including delivery drop off points where they are on the premises of any of the above businesses Public toilets Shopping centres may stay open but only units of the types listed above may trade",closed/restricted/all/yes
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public transportation closures,2020-03-23,partially closed,entire population,recommended,NA,"From Monday 23 March, Network Rail will be running a reduced timetable to keep trains moving for essential workers and services. As of March 28, 2020, Arriva bus have had to reduce the frequency of some services.A reduced service is operating on all London Underground, London Overground, DLR, TfL Rail and London Trams.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Public space closures,2020-03-23,partially closed,entire population,required,NA,"Outdoor markets closed except for market stalls which offer essential retail, such as grocery and food. Caravan parks closed unless people live permanently there. Libraries closed. Playgrounds, sports courts and pitches, and outdoor gyms or similar closed. National parks dont appear to be closed, but they strongly encourage people to stay home and not visit.","partially closed/partially restricted/
recommended/some"
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Limiting size of gatherings,2020-03-23,required,entire population,NA,NA,Gatherings of more than two people have been banned in the UK to stop the spread of Covid19.,closed/restricted/all/yes
7,2020-03-29T07:31:14Z,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,Restaurant closures (excluding takeout/delivery),2020-03-23,closed,entire population,required,NA,"Restaurants and public houses, wine bars or other food and drink establishments including within hotels and members clubs closed.Exceptions to cafes and canteens being closed 1 Cafés and canteens at hospitals, police and fire service places of work, care homes or schools; prison and military canteens; services providing food or drink to the homeless. 2 Where there are no practical alternatives, other workplace canteens can remain open to provide food for their staff and/or provide a space for breaks. However, where possible, staff should be encouraged to bring their own food, and distributors should move to takeaway. Measures should be taken to minimise the number of people in the canteen / break space at any one given time, for example by using a rota.",closed/restricted/all/yes
11,2020-03-29T09:58:54Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-02-27,required,other subpopulation,NA,NA,"A prikaz of Department of Education and Science of Moscow City orders schools to implement morning filters, which means that at entry to school, students are screened, including a temperature check. During the day, their health is supposed to be monitored, although its not specified how. Children with elevated temperature of other symptoms are to be isolated before their caregivers can take them home, and their information should be shared with a health clinic.",closed/restricted/all/yes
12,2020-03-29T10:18:43Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Household confinement,2020-03-05,fully restricted,other subpopulation,required,NA,"14 days self quarantine for those arriving from China, South Korea, Italy, Iran, France, Germany, and Spain with provision for other countries with problematic situation. This is an expansion of the previous policy, which was primarily limited to China",closed/restricted/all/yes
12,2020-03-29T10:18:43Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,required,random sample,NA,NA,Could have been implemented a little before this date; unclear exactly when. Screening of a sample of people at entrance to the metro in Moscow,closed/restricted/all/yes
13,2020-03-29T10:23:14Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-02,recommended,other subpopulation,NA,NA,Recommendation to employees to measure temperature of their employees,"partially closed/partially restricted/
recommended/some"
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Nursery school closures,2020-03-14,partially closed,entire population,recommended,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.","partially closed/partially restricted/
recommended/some"
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Primary school closures,2020-03-14,partially closed,entire population,recommended,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.","partially closed/partially restricted/
recommended/some"
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Secondary school closures,2020-03-14,partially closed,entire population,recommended,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory.","partially closed/partially restricted/
recommended/some"
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Household confinement,2020-03-14,fully restricted,other subpopulation,required,NA,14 days self quarantine to include household members of people returning from countries with concerning epidemiological situation,closed/restricted/all/yes
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Limiting size of gatherings,2020-03-10,required,entire population,NA,NA,Ban on mass gatherings and events of more than 5000 participants; anticipated to last until April 10 2020.,closed/restricted/all/yes
14,2020-03-29T10:41:56Z,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,Symptom screening at checkpoints within borders,2020-03-05,required,geographic subpopulation,NA,NA,"Employers are not required not just recommended to screen at workplace, including temperature. Employees with elevated temperature or other symptoms are to be sent home.",closed/restricted/all/yes
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by air,2020-01-31,required,entire population,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05 Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers one by one to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi Ensure Traveller Health Declaration Form attached below is adequately filled.	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",closed/restricted/all/yes
19,2020-03-29T14:32:27Z,Yes,MWI,Malawi,NA,NA,NA,Symptom screening when entering by land,2020-01-31,required,entire population,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05 Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers one by one to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi Ensure Traveller Health Declaration Form attached below is adequately filled.	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",closed/restricted/all/yes
20,2020-03-29T14:42:32Z,Yes,MWI,Malawi,NA,NA,NA,Testing of symptomatic individuals,2020-03-19,all,NA,NA,NA,"All suspected cases supposed to be tested, including those identified at the border.SUSPECT CASEA.	Patients with acute respiratory illness FEVER and at least one sign/symptom of respiratory disease e.g. cough, difficulties in breathing, AND with no other etiology that fully explains the clinical presentation1 AND at least one of the following	a history of travel to or residence in a country, area or territory reporting local transmission of COVID19 during the 14 days prior to symptom onset, or	is a health care worker or any person who has been working in an environment where COVID19 cases are being managed.B.	A patient with any acute respiratory illness AND having been in contact2 with a confirmed or probable COVID19 case in the last 14 days prior to onset of symptoms;ORC.	A patient with severe acute respiratory infection fever and at least one sign/symptom of respiratory disease e.g., cough, shortness breath AND requiring hospitalization AND with no other etiology that fully explains the clinical presentation.Note these recs were made 31Jan but no testing was in place until 19March.",closed/restricted/all/yes
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Primary school closures,2020-03-13,open,entire population,recommended,NA,Executive Order Governmental support provided to school districts who choose to close. Incentivizing but not recommending school closure.,open/no/no policy
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Secondary school closures,2020-03-13,open,entire population,recommended,NA,Executive Order Governmental support provided to school districts who choose to close. Incentivizing but not recommending school closure.,open/no/no policy
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting movement within borders,2020-01-31,partially restricted,other subpopulation,NA,NA,"Travelers at high risk for exposure are quarantined. Limit entry to necessary persons and family/friends. Restrict movement and exposure of highrisk individuals. Restrict entry for individuals with potential COVID19 exposure, confirmed cases status, or who has recently traveled internationally. Staff should take care to protect themselves.","partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-16,partially restricted,other subpopulation,recommended,No,Older adults and others with elevated risk or chronic diseases recommended to remain at home,"partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Nursing home/long-term care closures,2020-03-13,partially closed,other subpopulation,required,NA,"Catherine Gimbrone	https//www.amazon.com/gp/product/B073WGMSN2/refppxyodtbsearchasintitle?ieUTF8&psc1	https//www.amazon.com/gp/product/B071VYD4WZ/refppxyodtbsearchasintitle?ieUTF8&psc1Apple Computer	Add me on Houseparty	https//houseparty.com/add/ajsulCatherine Gimbrone	This is weird she isnt showing upApple Computer	oh no im sorry	tried calling?Catherine Gimbrone	I texted her	I hope she is okApple Computer	im sure shes just running late Catherine Gimbrone	I dunno	I dont think soApple Computer	https//www.seriouseats.com/2020/03/foodsafetyandcoronavirusacomprehensiveguide.htmlCatherine Gimbrone	https//www.yelp.com/search?finddescBiggestSupermarket&findlocBrooklyn2CNY	https//www.yelp.com/biz/shopriteofavenueibrooklyn3?osqBiggestSupermarket	https//goo.gl/maps/Hi2aCb8o2DqFRVhaA	https//twitter.com/NYCASP	https//www.foodkick.com/browse/salefvgfruit	Susannah did this	Said it goood	When dinner done?Apple Computer	im stuckthe next step is v loudCatherine Gimbrone	I can muteApple Computer	whateve you wanCatherine Gimbrone	Do it	https//www.reddit.com/r/COVID19/comments/fo0rpe/stanfordresearchersconfirmn95maskscanbe/?utmsourceshare&utmmediumiosapp&utmnameiossmfApple Computer	hm	groceries to getCO2 cartridgeswhole chickenelderberry syrupground beef to freezecauliflowercured meatsmirinsundried tomatoeschocolatedried thymepine nutsbarleysumacground star anisedried mushroomsCatherine Gimbrone	Im 99 she has COVID	My professorApple Computer	Catherine Gimbrone	She drove to Bloomington Indiana to get away	Also I was reading that article yesterday for a quiz we were supposed to have but apparently she opened the quiz from 9 to 1 today and then closed it	But also was like everyone gets 100 and no more quizzes going forwardApple Computer	niceCatherine Gimbrone	After my class and meeting at 430 which probably will go to 530 do you want to start drinking and make browniesApple Computer			nothin	lookin aroundCatherine Gimbrone	fuuuuck	Did they throw it over the dooooor	Is there mailApple Computer	mail yaCatherine Gimbrone	Ok come back and get davids keys	Be sneaky	https//www1.nyc.gov/site/doh/covid/covid19main.page	You can download graphs of the cases from here twice a day	https//docs.google.com/document/d/1EuI6RS8zhSYn4nLA1iRJDYx1VjVfSFJGSY1IqZHraI/edit	https//cooking.nytimes.com/recipes/11003fasttomatosaucewithanchovies?moduleRecipeofTheDay&pgTypehomepage&actionclick	Limit entry to necessary persons and family/friends. Restrict movement and exposure of highrisk individuals. Restrict entry for individuals with potential COVID19 exposure, confirmed cases status, or who has recently traveled internationally. Staff should take care to protect themselves.","partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Office closures,2020-03-19,closed,entire population,required,NA,All nonessential businesses must close.,closed/restricted/all/yes
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-13,partially closed,entire population,recommended,NA,"Guidelines from CDPH for limiting customers, increasing social distancing, increasing cleaning, and eliminating events for vulnerable individuals for gambling, theme parks and attractions, and theaters.","partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Retail store closures (excluding essentials),2020-03-19,closed,entire population,required,NA,All nonessential businesses must close.,closed/restricted/all/yes
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-17,partially closed,entire population,required,NA,All campgrounds closed.,"partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-11,required,entire population,NA,NA,"The states public health experts have determined that gatherings should be postponed or canceled across the state until at least the end of March. Nonessential gatherings must be limited to no more than 250 people, while smaller events can proceed only if the organizers can implement social distancing of 6 feet per person. Gatherings of individuals who are at higher risk for severe illness from COVID19 should be limited to no more than 10 people, while also following social distancing guidelines.",closed/restricted/all/yes
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Contact tracing,2020-02-26,partial contact tracing,NA,NA,NA,Contact tracing initiated after first community spread of disease. From news article Contacts being monitored. Testing for healthcare workers who came in contact with case and quarantine.,NA
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-01-31,some,symptom severity;travel history;other,NA,NA,Testing recommended for travelers at high risk for exposure but doctors allowed to make exceptions. First community spread case tested after multiple days of refused testing because she had not traveled to affected areas.,"partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Testing of asymptomatic individuals,2020-01-31,some,travel history,NA,NA,All individuals traveling from affected areas have been tested for virus.,"partially closed/partially restricted/
recommended/some"
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Military and police deployment,2020-03-20,no,NA,NA,NA,National guard being deployed to help distribute food at food banks.,open/no/no policy
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,State of emergency,2020-03-04,yes,NA,NA,NA,NA,closed/restricted/all/yes
22,2020-03-29T14:50:33Z,No,USA,United States of America,USA.5_1,California,NA,Restaurant closures (excluding takeout/delivery),2020-03-16,closed,entire population,required,NA,"Retail beverage places and food service places should close except for delivery and takeout. Does not apply to food trucks, grocery stores, farmers markets, and charitable food distribution sites. Guidance is provided for the latter businesses.",closed/restricted/all/yes
23,2020-03-29T15:28:17Z,Yes,USA,United States of America,NA,NA,NA,Symptom screening when entering by air,2020-01-17,required,other subpopulation,NA,NA,"Screening travelers from Wuhan, China at SFO, LAX, and JFK",closed/restricted/all/yes
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Household confinement,2020-03-19,fully restricted,entire population,required,No,All Californians are ordered to stay home except for necessary activities.,closed/restricted/all/yes
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,"Leisure, entertainment, and religious venue closures",2020-03-16,closed,entire population,required,NA,"Gyms, health clubs, and theaters should be closed.",closed/restricted/all/yes
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-24,partially closed,entire population,required,NA,Restricting vehicular traffic to some state parks.,"partially closed/partially restricted/
recommended/some"
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Limiting size of gatherings,2020-03-16,required,entire population,NA,NA,All gatherings should be postponed or cancelled. No limit on the number of people in a gathering.,closed/restricted/all/yes
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Testing of symptomatic individuals,2020-03-05,some,symptom severity;hospitalization;travel history;contact with case;other potential exposure,NA,NA,"If you are experiencing symptoms of COVID19 and may have had contact with a person with COVID19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care. Free medically necessary testing made available to Californians.","partially closed/partially restricted/
recommended/some"
24,2020-03-29T15:31:12Z,No,USA,United States of America,USA.5_1,California,NA,Testing of asymptomatic individuals,2020-03-20,none,NA,NA,NA,Guidance against testing asymptomatic people.,NA
25,2020-03-29T15:38:08Z,No,USA,United States of America,USA.5_1,California,NA,Public space closures,2020-03-26,partially closed,entire population,required,NA,Additional restriction of vehicular traffic to more state parks. High public use indoor facilities ordered closed. All events in state parks have been canceled.,"partially closed/partially restricted/
recommended/some"
26,2020-03-29T15:57:22Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by air,2020-01-21,recommended,other subpopulation,NA,NA,"In coordination with the Public Health Agency of Canada, our public health teams are responding by closely monitoring the situation and have implemented screening for early detection of infections for individuals arriving in airports. Quarantine officers are available at Vancouver International Airport to coordinate any response required, and Richmond Hospital infection control practitioners are ready to respond to any potential scenario where a patient may require further investigation.","partially closed/partially restricted/
recommended/some"
27,2020-03-29T16:34:58Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Contact tracing,2020-01-28,partial contact tracing,NA,NA,NA,"Following 1st case in the province, Public health officials are in regular contact with the individual and a small number of close contacts. He is in isolation at home.",NA
28,2020-03-29T16:48:31Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Testing of asymptomatic individuals,2020-02-03,some,travel history;other,NA,NA,"Individuals repatriated from Hubei province, China are tested and quarantine at the Trenton military base for 14 days  testing in the provincial population unknown criteria / availability In B.C., we have chosen testing criteria with an intentionally low threshold to purposely ensure a wide range of people are eligible for novel coronavirus testing.","partially closed/partially restricted/
recommended/some"
29,2020-03-29T17:04:33Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Household confinement,2020-02-07,unrestricted,NA,recommended,NA,"Together with our federal and provincial partners, we are asking people who have recently visited, or who have been in close contact with someone who has recently visited, the Hubei province in China to call public health officials and selfisolate for 14 days.",NA
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Primary school closures,2020-03-18,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Secondary school closures,2020-03-18,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Post-secondary school closures,2020-03-14,closed,other subpopulation,recommended,NA,"Actual date is March 19, but because of spring break the effective date is March 14.",closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Household confinement,2020-03-22,partially restricted,entire population,recommended,No,NA,"partially closed/partially restricted/
recommended/some"
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Office closures,2020-03-22,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,"Leisure, entertainment, and religious venue closures",2020-03-22,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Retail store closures (excluding essentials),2020-03-22,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Limiting size of gatherings,2020-03-22,required,entire population,NA,NA,"No nonessential gatherings of individuals of any size for any reason e.g. parties, celebrations or other social events are canceled or postponed at this time;",closed/restricted/all/yes
31,2020-03-29T17:16:20Z,No,USA,United States of America,USA.33_1,New York,NA,Restaurant closures (excluding takeout/delivery),2020-03-22,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
32,2020-03-29T17:29:57Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by land,2020-03-02,recommended,entire population,NA,NA,Quarantine officers are always available to support the Canadian Border Services Agencys screening conducted at land entries and airports.,"partially closed/partially restricted/
recommended/some"
34,2020-03-29T17:36:15Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Household confinement,2020-03-02,unrestricted,NA,recommended,NA,Travelers coming back from China or Iran must selfisolate for 14 days.,NA
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Household confinement,2020-03-03,fully restricted,other subpopulation,required,No,"Starting today, Canada Border Services Agency officers are taking contact information from all travellers arriving from Iran, requiring them to selfisolate for 14 days and to contact public health officials. This process is already in place for people arriving from Hubei, China.",closed/restricted/all/yes
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by air,2020-03-03,required,entire population,NA,NA,Travelers showing signs will be referred to quarantine officer and screened.,closed/restricted/all/yes
35,2020-03-29T17:40:47Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Symptom screening when entering by land,2020-03-03,required,entire population,NA,NA,Travelers showing signs will be referred to quarantine officer and screened.,closed/restricted/all/yes
36,2020-03-29T17:43:40Z,No,USA,United States of America,USA.33_1,New York,NA,Retail store closures (excluding essentials),2020-03-21,partially closed,entire population,recommended,NA,"barbershops, hair salons, tattoo or piercing parlors, nail salons, hair removal services, and related personal care service","partially closed/partially restricted/
recommended/some"
37,2020-03-29T17:46:31Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Testing of symptomatic individuals,2020-03-05,all,NA,NA,NA,"We are continuing widespread testing by screening British Columbians and travellers with symptoms, along with their close contacts, to identify cases of COVID19 and take immediate action as we have seen today.",closed/restricted/all/yes
38,2020-03-29T17:47:08Z,No,USA,United States of America,USA.33_1,New York,NA,Office closures,2020-03-19,partially closed,entire population,recommended,NA,reduce inoffice personnel by 75,"partially closed/partially restricted/
recommended/some"
39,2020-03-29T17:49:46Z,No,CAN,Canada,CAN.2_1,British Columbia,NA,Limiting size of gatherings,2020-03-07,recommended,entire population,NA,NA,"There has been a notable transmission of COVID19 at events, such as religious gatherings. As a result, we recommend social distancing and forgoing usual greetings. As an alternative, we recommend considering virtual online gatherings.","partially closed/partially restricted/
recommended/some"
40,2020-03-29T17:54:32Z,No,USA,United States of America,USA.33_1,New York,New York City,Primary school closures,2020-03-15,closed,entire population,recommended,NA,NA,closed/restricted/all/yes
40,2020-03-29T17:54:32Z,No,USA,United States of America,USA.33_1,New York,New York City,Secondary school closures,2020-03-15,closed,entire population,recommended,NA,Except for children of essential personnel who can attend learning centers.,closed/restricted/all/yes
41,2020-03-29T17:57:50Z,No,USA,United States of America,USA.33_1,New York,NA,Limiting size of gatherings,2020-03-12,required,entire population,NA,NA,NA,closed/restricted/all/yes
42,2020-03-29T18:27:28Z,Yes,MWI,Malawi,NA,NA,NA,Nursery school closures,2020-03-23,closed,entire population,required,NA,NA,closed/restricted/all/yes
