"","unique_id","date_announced","date_start","date_end","type","type_sub_cat","description","country","enforcer","target_geog_level","init_country_level","link","province"
"55","AB064-health_res",2020-03-26,2020-03-17,NA,"Health Resources or Restriction and Regulation of Businesses",NA,"Who: College of Alberta Dental Assistants 
What: Suspended all non-essential/non-emergency treatment and services.
Effective until:","Canada","College of Alberta Dental Assistants","Provincial","Provincial","https://abrda.ca/front-page/rda-practice-during-covid-19/","Alberta"
"56","AB065",2020-03-31,2020-03-27,NA,"Health Resources","Other Health Infrastructure","Who: College of Alberta Psychologists 
What: Recommended that members participate in telepractice where possible and restrict in-person care to urgent cases only.
Effective until:","Canada","College of Alberta Psychologists","Provincial","Provincial","https://www.cap.ab.ca/covid-19-updates-and-information","Alberta"
"57","AB066",NA,NA,NA,"Health Resources","Other Health Infrastructure","Who: Alberta Dental Association and College 
What: Non-essential services delivered virtually with specific billing codes for teledentistry.
Effective until:","Canada","Alberta Dental Association and College","Provincial","Provincial","https://www.dentalhealthalberta.ca/wp-content/uploads/2020/04/A-Message-for-CDA-Stakeholders.pdf","Alberta"
"58","AB071",2020-04-20,2020-04-20,NA,"Health Resources",NA,"Who: Government of Alberta, Minister of Health
What: Announced support to increase staffing of health care aides and alleviate pressures in contracted continuing care facilities
Effective until:","Canada","Government of Alberta, Minister of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70127FF594C5C-CE00-2934-863516C3FEDF723E","Alberta"
"59","AB079",2020-04-28,2020-04-28,NA,"Public Awareness Measures",NA,"Who: Government of Alberta, Office of the Premier
What: Updated projection for cases and critical care capacity
Effective until:","Canada","Government of Alberta, Office of the Premier","Provincial","Provincial","https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection-april-28.pdf","Alberta"
"60","AB080-mass_gatherings",2020-04-29,2020-04-29,NA,"Restrictions of Mass Gatherings or Social Distancing",NA,"Who: Government of Alberta, Chief Medical Officer of Health
What: Issued an exemption to the existing COVID-19 gathering restrictions, and mandated physical distancing in outdoor spaces for the Fort McMurray area due to the emergency flooding situation
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70207D315BDD2-0E06-E462-9E817EC8B314C55E#toc-6","Alberta"
"61","AB081",2020-04-28,2020-04-28,NA,"Public Awareness Measures",NA,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated operational and outbreak standards for long-term care and licensed supportive living facilities. The update is specific to how and when the resident should be tested to detect a possible outbreak as well as when an outbreak occurs.
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health","Provincial","Provincial","https://open.alberta.ca/dataset/63fd3100-c64c-492e-9be0-cf62d83ad10f/resource/21817ec1-2daa-4d84-9171-c1132cb70963/download/health-cmoh-record-of-decision-cmoh-12-2020.pdf","Alberta"
"62","AB082",2020-04-29,2020-04-29,NA,NA,NA,"Who: Government of Alberta, Chief Medical Officer of Health
What: Announced new strategy in place involving prevention and preparedness; rapid response and timely notification of public health; and outbreak management using surveillance data and implementing setting-specific measures
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70205D0F7B98C-DB8F-FE95-B326545F47729166","Alberta"
"63","AB083-business",2020-04-30,2020-04-30,NA,"Restriction and Regulation of Businesses",NA,"Who: Government of Alberta, Office of the Premier
What: Released 1st preliminary plans to reopen closed businesses
Effective until:","Canada","Government of Alberta, Office of the Premier","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=70217037B8E9C-C319-32CC-240D33487895E4F7","Alberta"
"64","AB084",2020-05-01,2020-05-01,NA,"Health Monitoring","Who a person has come into contact with over time","Who: Government of Alberta, Chief Medical Officer of Health
What: Launching of the new ABTraceTogether app to enhance current manual tracing processes and help Albertans prevent community spread by quickly alerting people who may be at risk
Effective until:","Canada","Government of Alberta, Chief Medical Officer of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=702323575C511-AE93-C894-E1697D246FD90B38","Alberta"
"65","AB085",2020-05-04,2020-05-04,NA,"Health Resources",NA,"Who: Government of Alberta, Minister of Health
What: Modified regulations to allow nurse practitioners to provide expanded care to nursing home residents
Effective until:","Canada","Government of Alberta, Minister of Health","Provincial","Provincial","https://www.alberta.ca/release.cfm?xID=71250C5D71902-FADC-21BD-C052BEC9A12ED2A8","Alberta"
